year,spot,cp_nat,cp_nat_pct,shape_disc,cp_wind,cp_wind_pct,shape_disc_wind,neg_h,n_hours,partial,cap_solar_gw,cap_wind_gw
2015,38.46216618580496,39.28464607284488,1.0213841280562994,-0.021384128056299412,37.250563827824294,0.9684988528173999,0.03150114718260011,0,8665,False,6.191,10.322
2016,36.762659986335684,34.776036584106684,0.9459608362679032,0.05403916373209683,34.44420686412365,0.936934565587099,0.06306543441290102,0,8782,False,6.772,11.761
2017,44.98037117405208,41.47128177253284,0.9219862062066856,0.07801379379331441,44.33956674493636,0.9857536873887475,0.014246312611252532,0,8756,False,7.66,13.569
2018,50.2873479652492,51.33512674096344,1.0208358328309202,-0.020835832830920165,48.339140889511185,0.9612585042845307,0.038741495715469254,0,8748,False,7.17,12.518
2019,39.59367498854787,38.08137814130844,0.9618045850081649,0.0381954149918351,37.5349303929487,0.9480031950508601,0.05199680494913994,0,8732,False,8.188,13.61
2020,32.72459269501095,30.968170806750535,0.9463271581519733,0.053672841848026676,30.81924149681522,0.9417761676683539,0.058223832331646075,0,8679,False,9.43784,16.59188
2021,110.1025316310099,96.26414773657322,0.8743136630062813,0.12568633699371867,103.73020794747438,0.9421237314970079,0.0578762685029921,0,8694,False,10.21284,17.22688
2022,276.15228545309105,291.6393758258865,1.0560817027003246,-0.05608170270032464,234.72428846737822,0.8499813357773204,0.15001866422267962,0,8751,False,13.15379,19.53554
2023,99.03973300687886,87.2934037825276,0.8813978100735045,0.11860218992649552,88.34781514886727,0.8920441570933054,0.10795584290669458,0,8577,False,14.63879,21.335400000000003
2024,62.32176320582877,47.515942435462335,0.7624293664242527,0.23757063357574726,56.22966930416236,0.9022477287501288,0.09775227124987118,0,8235,False,17.79487,22.704130000000003
2025,67.06408476581963,48.56685023000764,0.7241856859688418,0.2758143140311582,58.59527201622886,0.8737205945751303,0.1262794054248697,0,8028,False,22.860036784,23.93527063
2026,73.72771425495263,52.85932797966353,0.7169532992284883,0.28304670077151173,65.30432588943248,0.8857500405289682,0.11424995947103178,0,2322,True,28.25387,25.19997
