Date,FCR_EUR_MW_day
2026-04-09,3.2775
2026-04-10,1.6967187499999998
2026-04-11,1.182395833333333
2026-04-12,0.9663541666666668
2026-04-13,1.9459375
2026-04-14,4.082395833333334
2026-04-15,3.8441666666666654
2026-04-16,3.65375
2026-04-17,0.2675
2026-04-18,1.8059375
2026-04-19,1.57125
2026-04-20,1.9492708333333333
2026-04-21,5.125104166666667
2026-04-22,2.841666666666667
2026-04-23,3.524270833333333
2026-04-24,2.0205208333333333
2026-04-25,5.229895833333333
2026-04-26,7.792604166666667
2026-04-27,4.456458333333333
2026-04-28,2.2375000000000003
2026-04-29,2.3842708333333333
2026-04-30,2.9370833333333333
2026-05-01,11.511874999999998
2026-05-02,7.326666666666667
2026-05-03,2.416770833333333
2026-05-04,0.9558333333333334
2026-05-05,1.3785416666666668
2026-05-06,1.1372916666666666
2026-05-07,0.8733333333333334
2026-05-08,1.3583333333333334
2026-05-09,1.4377083333333334
2026-05-10,1.4569791666666667
2026-05-11,3.6840625
2026-05-12,6.6234375000000005
2026-05-13,3.3772916666666664
2026-05-14,1.1744791666666667
2026-05-15,0.9480208333333334
2026-05-16,1.0764583333333333
2026-05-17,1.1661458333333334
2026-05-18,1.4521875
2026-05-19,3.802291666666666
2026-05-20,2.2647916666666665
2026-05-21,3.3984375
2026-05-22,2.604791666666667
2026-05-23,2.7596875
2026-05-24,4.724270833333333
2026-05-25,3.229791666666667
2026-05-26,3.7682291666666665
2026-05-27,4.623645833333334
2026-05-28,2.9433333333333334
2026-05-29,2.521145833333333
2026-05-30,1.8682291666666664
2026-05-31,1.5069791666666663
2026-06-01,1.789791666666667
2026-06-02,3.7395833333333335
2026-06-03,2.2291666666666665
2026-06-04,1.7608333333333333
2026-06-05,2.169270833333333
2026-06-06,1.22625
2026-06-07,3.373125
2026-06-08,1.4998958333333334
2026-06-09,1.69125
2026-06-10,1.7571875
2026-06-11,1.8615625
2026-06-12,1.2019791666666666
2026-06-13,2.6884375
2026-06-14,2.6713541666666667
2026-06-15,2.5707291666666667
2026-06-16,2.8241666666666667
2026-06-17,4.0218750000000005
2026-06-18,1.2304166666666667
2026-06-19,1.2876041666666667
2026-06-20,1.1821875
2026-06-21,1.2859375
2026-06-22,2.0494791666666665
2026-06-23,2.330416666666667
2026-06-24,2.5315625
2026-06-25,3.349375
2026-06-26,2.2831770833333334
2026-06-27,2.4257291666666667
2026-06-28,0.715
